sku_id,product_family,n_weeks,total_demand,mean_demand,pct_zero_weeks,stockout_rate,avg_on_hand,latest_on_hand,unit_cost,lead_time_days,n_suppliers,adi,cv2,sb_class,inventory_value,weeks_of_supply,paradox_tag
CB-1001,Trip Unit,104,553.0,5.3173076923076925,78.84615384615384,0.09615384615384616,25.259615384615383,45,154.9,28.0,1,4.7272727272727275,0.2558623192907991,Intermittent,6970.5,8.462929475587703,Overstocked / slow-moving
CB-1002,Terminal Block,104,5971.0,57.41346153846154,0.0,0.04807692307692308,134.57692307692307,65,19.22,21.0,1,1.0,0.16827469653820856,Smooth,1249.3,1.1321386702394909,Reasonably balanced
CB-1003,Contact Assembly,104,850.0,8.173076923076923,74.03846153846155,0.08653846153846154,35.84615384615385,0,142.03,35.0,1,3.8518518518518516,0.3194685121107267,Intermittent,0.0,0.0,Reasonably balanced
CB-1004,Molded Case,104,13853.0,133.20192307692307,0.0,0.057692307692307696,295.99038461538464,510,82.44,35.0,1,1.0,0.03488030930872897,Smooth,42044.4,3.8287735508554106,Reasonably balanced
CB-1005,Trip Unit,104,6388.0,61.42307692307692,0.0,0.009615384615384616,138.17307692307693,235,116.78999999999999,14.0,1,1.0,0.03127498373790243,Smooth,27445.649999999998,3.82592360676268,Reasonably balanced
CB-1006,Terminal Block,104,937.0,9.009615384615385,69.23076923076923,0.08653846153846154,38.72115384615385,11,81.21000000000001,42.0,1,3.25,0.3118640863173984,Intermittent,893.3100000000001,1.2209178228388473,Reasonably balanced
CB-1007,Contact Assembly,104,13014.0,125.13461538461539,0.0,0.0,274.1826923076923,425,13.83,7.0,1,1.0,0.03382256778758599,Smooth,5877.75,3.396342400491778,Reasonably balanced
CB-1008,Molded Case,104,1233.0,11.85576923076923,66.34615384615384,0.10576923076923077,52.29807692307692,0,114.61999999999999,28.0,1,2.9714285714285715,0.23961628348294312,Intermittent,0.0,0.0,Reasonably balanced
CB-1009,Trip Unit,104,723.0,6.951923076923077,78.84615384615384,0.07692307692307693,32.16346153846154,43,174.8,35.0,1,4.7272727272727275,0.22199074472623473,Intermittent,7516.400000000001,6.185338865836791,Overstocked / slow-moving
CB-1010,Terminal Block,104,764.0,7.346153846153846,75.0,0.07692307692307693,33.54807692307692,0,140.66,21.0,1,4.0,0.2694073627367672,Intermittent,0.0,0.0,Reasonably balanced
CB-1011,Contact Assembly,104,12641.0,121.54807692307692,0.0,0.04807692307692308,255.22115384615384,413,10.28,21.0,1,1.0,0.03481557710224773,Smooth,4245.639999999999,3.3978324499644015,Reasonably balanced
CB-1012,Molded Case,104,13185.0,128.0097087378641,0.0,0.028846153846153848,286.8942307692308,418,123.74,21.0,1,1.0097087378640777,0.03547737061728683,Smooth,51723.32,3.2653773227152065,Reasonably balanced
CB-1013,Trip Unit,104,8099.0,78.63106796116504,1.9230769230769231,0.038461538461538464,180.34615384615384,24,60.33,21.0,1,1.0297029702970297,0.15452524240819648,Smooth,1447.92,0.30522286702061985,Reasonably balanced
CB-1014,Terminal Block,104,9125.0,87.74038461538461,0.0,0.07692307692307693,199.06730769230768,51,85.85,42.0,1,1.0,0.027568243197598048,Smooth,4378.349999999999,0.5812602739726027,Reasonably balanced
CB-1015,Contact Assembly,104,12671.0,124.22549019607843,0.0,0.038461538461538464,274.125,508,86.94,21.0,1,1.0196078431372548,0.031555198843984444,Smooth,44165.52,4.089337858101176,Reasonably balanced
CB-1016,Molded Case,104,11752.0,113.0,0.0,0.019230769230769232,245.0,434,121.39,7.0,1,1.0,0.037952493117345505,Smooth,52683.26,3.84070796460177,Reasonably balanced
