sku_id,week_start_date,demand_qty,on_hand_qty,unit_cost,lead_time_days,stockout_flag,_dupe_key
CB-1001,2024-01-01,0.0,2,154.9,28,0,False
CB-1001,2024-01-08,0.0,2,154.9,28,0,False
CB-1001,2024-01-15,0.0,2,154.9,28,0,False
CB-1001,2024-01-22,0.0,2,154.9,28,0,False
CB-1001,2024-01-29,0.0,24,154.9,28,0,False
CB-1001,2024-02-05,0.0,47,154.9,28,0,False
CB-1001,2024-02-12,0.0,47,154.9,28,0,False
CB-1001,2024-02-19,0.0,47,154.9,28,0,False
CB-1001,2024-02-26,9.0,38,154.9,28,0,False
CB-1001,2024-03-04,0.0,38,154.9,28,0,False
CB-1001,2024-03-11,20.0,18,154.9,28,0,False
CB-1001,2024-03-18,0.0,18,154.9,28,0,False
CB-1001,2024-03-25,22.0,0,154.9,28,1,False
CB-1001,2024-04-01,0.0,0,154.9,28,0,False
CB-1001,2024-04-08,50.0,0,154.9,28,1,False
CB-1001,2024-04-15,0.0,0,154.9,28,0,False
CB-1001,2024-04-22,0.0,22,154.9,28,0,False
CB-1001,2024-04-29,38.0,0,154.9,28,1,False
CB-1001,2024-05-06,25.0,0,154.9,28,1,False
CB-1001,2024-05-13,0.0,0,154.9,28,0,False
CB-1001,2024-05-20,0.0,0,154.9,28,0,False
CB-1001,2024-05-27,0.0,22,154.9,28,0,False
CB-1001,2024-06-03,0.0,45,154.9,28,0,False
CB-1001,2024-06-10,0.0,45,154.9,28,0,False
CB-1001,2024-06-17,0.0,45,154.9,28,0,False
CB-1001,2024-06-24,0.0,45,154.9,28,0,False
CB-1001,2024-07-01,0.0,45,154.9,28,0,False
CB-1001,2024-07-08,16.0,29,154.9,28,0,False
CB-1001,2024-07-15,0.0,29,154.9,28,0,False
CB-1001,2024-07-22,14.0,15,154.9,28,0,False
CB-1001,2024-07-29,0.0,15,154.9,28,0,False
CB-1001,2024-08-05,0.0,37,154.9,28,0,False
CB-1001,2024-08-12,0.0,37,154.9,28,0,False
CB-1001,2024-08-19,0.0,37,154.9,28,0,False
CB-1001,2024-08-26,0.0,37,154.9,28,0,False
CB-1001,2024-09-02,30.0,7,154.9,28,0,False
CB-1001,2024-09-09,0.0,7,154.9,28,0,False
CB-1001,2024-09-16,47.0,0,154.9,28,1,False
CB-1001,2024-09-23,0.0,0,154.9,28,0,False
CB-1001,2024-09-30,0.0,22,154.9,28,0,False
CB-1001,2024-10-07,15.0,30,154.9,28,0,False
CB-1001,2024-10-14,0.0,30,154.9,28,0,False
CB-1001,2024-10-21,18.0,12,154.9,28,0,False
CB-1001,2024-10-28,32.0,0,154.9,28,1,False
CB-1001,2024-11-04,0.0,22,154.9,28,0,False
CB-1001,2024-11-11,0.0,22,154.9,28,0,False
CB-1001,2024-11-18,18.0,4,154.9,28,0,False
CB-1001,2024-11-25,0.0,27,154.9,28,0,False
CB-1001,2024-12-02,0.0,27,154.9,28,0,False
