sku_id,date,week_start_date,product_family,demand_qty,unit_cost,on_hand_qty,supplier_id,lead_time_days,stockout_flag
CB-1001,2024-01-01,2024-01-01,Trip Unit,0.0,154.9,2,SUP-101,28,0
CB-1001,2024-01-08,2024-01-08,Trip Unit,0.0,154.9,2,SUP-101,28,0
CB-1001,2024-01-15,2024-01-15,Trip Unit,0.0,154.9,2,SUP-101,28,0
CB-1001,2024-01-22,2024-01-22,Trip Unit,0.0,154.9,2,SUP-101,28,0
CB-1001,2024-01-29,2024-01-29,Trip Unit,0.0,154.9,24,SUP-101,28,0
CB-1001,2024-02-05,2024-02-05,Trip Unit,0.0,154.9,47,SUP-101,28,0
CB-1001,2024-02-12,2024-02-12,Trip Unit,0.0,154.9,47,SUP-101,28,0
CB-1001,2024-02-19,2024-02-19,Trip Unit,0.0,154.9,47,SUP-101,28,0
CB-1001,2024-02-26,2024-02-26,Trip Unit,9.0,154.9,38,SUP-101,28,0
CB-1001,2024-03-04,2024-03-04,Trip Unit,0.0,154.9,38,SUP-101,28,0
CB-1001,2024-03-11,2024-03-11,Trip Unit,20.0,154.9,18,SUP-101,28,0
CB-1001,2024-03-18,2024-03-18,Trip Unit,0.0,154.9,18,SUP-101,28,0
CB-1001,2024-03-25,2024-03-25,Trip Unit,22.0,154.9,0,SUP-101,28,1
CB-1001,2024-04-01,2024-04-01,Trip Unit,0.0,154.9,0,SUP-101,28,0
CB-1001,2024-04-08,2024-04-08,Trip Unit,50.0,154.9,0,SUP-101,28,1
CB-1001,2024-04-15,2024-04-15,Trip Unit,0.0,154.9,0,SUP-101,28,0
CB-1001,2024-04-22,2024-04-22,Trip Unit,0.0,154.9,22,SUP-101,28,0
CB-1001,2024-04-29,2024-04-29,Trip Unit,38.0,154.9,0,SUP-101,28,1
CB-1001,2024-05-06,2024-05-06,Trip Unit,25.0,154.9,0,SUP-101,28,1
CB-1001,2024-05-13,2024-05-13,Trip Unit,0.0,154.9,0,SUP-101,28,0
CB-1001,2024-05-20,2024-05-20,Trip Unit,0.0,154.9,0,SUP-101,28,0
CB-1001,2024-05-27,2024-05-27,Trip Unit,0.0,154.9,22,SUP-101,28,0
CB-1001,2024-06-03,2024-06-03,Trip Unit,0.0,154.9,45,SUP-101,28,0
CB-1001,2024-06-10,2024-06-10,Trip Unit,0.0,154.9,45,SUP-101,28,0
CB-1001,2024-06-17,2024-06-17,Trip Unit,0.0,154.9,45,SUP-101,28,0
CB-1001,2024-06-24,2024-06-24,Trip Unit,0.0,154.9,45,SUP-101,28,0
CB-1001,2024-07-01,2024-07-01,Trip Unit,0.0,154.9,45,SUP-101,28,0
CB-1001,2024-07-08,2024-07-08,Trip Unit,16.0,154.9,29,SUP-101,28,0
CB-1001,2024-07-15,2024-07-15,Trip Unit,0.0,154.9,29,SUP-101,28,0
CB-1001,2024-07-22,2024-07-22,Trip Unit,14.0,154.9,15,SUP-101,28,0
CB-1001,2024-07-29,2024-07-29,Trip Unit,0.0,154.9,15,SUP-101,28,0
CB-1001,2024-08-05,2024-08-05,Trip Unit,0.0,154.9,37,SUP-101,28,0
CB-1001,2024-08-12,2024-08-12,Trip Unit,0.0,154.9,37,SUP-101,28,0
CB-1001,2024-08-19,2024-08-19,Trip Unit,0.0,154.9,37,SUP-101,28,0
CB-1001,2024-08-26,2024-08-26,Trip Unit,0.0,154.9,37,SUP-101,28,0
CB-1001,2024-09-02,2024-09-02,Trip Unit,30.0,154.9,7,SUP-101,28,0
CB-1001,2024-09-09,2024-09-09,Trip Unit,0.0,154.9,7,SUP-101,28,0
CB-1001,2024-09-16,2024-09-16,Trip Unit,47.0,154.9,0,SUP-101,28,1
CB-1001,2024-09-23,2024-09-23,Trip Unit,0.0,154.9,0,SUP-101,28,0
CB-1001,2024-09-30,2024-09-30,Trip Unit,0.0,154.9,22,SUP-101,28,0
CB-1001,2024-10-07,2024-10-07,Trip Unit,15.0,154.9,30,SUP-101,28,0
CB-1001,2024-10-14,2024-10-14,Trip Unit,0.0,154.9,30,SUP-101,28,0
CB-1001,2024-10-21,2024-10-21,Trip Unit,18.0,154.9,12,SUP-101,28,0
